Property_ID,room,layout_type,property_type,locality,area,furnish_type,bathroom,city,parking_spaces,floor,pet_friendly,power_backup,washing_machine,air_conditioner,geyser/solar,security_deposit,CCTV/security,lift,neighbourhood,Price
167979,1,BHK,Apartment,Thane East,997,Unfurnished,1,Mumbai,0,8,1,0,0,0,0,27702,0,1,3900,6269.173513
62709,3,BHK,Apartment,Preet Vihar,1276,Furnished,3,Delhi,0,17,1,0,0,1,0,122814,1,1,3200,21557.28598
23698,2,BHK,Independent Floor,Parappana Agrahara,1268,Semi-Furnished,2,Bangalore,0,2,0,1,1,1,0,349389,0,0,3400,48537.73862
77217,2,BHK,Independent House,Sector 2 Dwarka,852,Unfurnished,1,Delhi,0,8,0,0,0,0,0,55326,0,1,1500,12062.80508
55194,1,BHK,Apartment,Vasant Vihar,1019,Unfurnished,2,Delhi,0,12,0,0,0,0,0,292019,0,1,3200,41868.27573
137184,3,RK,Independent Floor,Virar,919,Furnished,4,Mumbai,1,9,1,1,0,1,1,15676,0,1,1000,5068.82624
20091,3,BHK,Apartment,Nagawara,754,Semi-Furnished,2,Bangalore,1,2,0,1,1,1,1,260208,0,0,1500,37588.67162
130445,3,BHK,Independent Floor,Kharghar,1621,Furnished,4,Mumbai,1,10,0,0,0,1,0,38032,0,1,3000,11625.93412
32871,4,BHK,Independent Floor,Kanakapura,1408,Semi-Furnished,2,Bangalore,1,3,0,0,1,1,1,234456,0,0,2100,33609.1688
160465,2,BHK,Villa,Mahim,958,Unfurnished,2,Mumbai,1,15,1,1,0,0,0,461120,0,1,2700,62937.50467
65158,1,RK,Independent Floor,Chattarpur,1174,Furnished,4,Delhi,0,4,1,1,0,1,0,74460,1,0,3700,15378.91495
76167,2,BHK,Apartment,Vasant Kunj,1468,Semi-Furnished,2,Delhi,1,8,0,1,1,1,0,286090,1,1,200,41936.23422
114165,2,BHK,Independent Floor,Andheri West,2001,Furnished,2,Mumbai,0,12,1,1,0,1,0,103225,0,1,2300,19941.32868
22891,2,RK,Independent Floor,Kempe Gowda Nagar,1406,Semi-Furnished,2,Bangalore,0,3,0,0,1,1,1,387750,1,0,200,55433.84335
53423,3,BHK,Independent Floor,Sector 22 Dwarka,1566,Semi-Furnished,2,Delhi,1,3,0,0,1,1,1,55936,1,0,3100,14944.96026
3768,2,BHK,Apartment,Bopal,1198,Semi-Furnished,3,Ahmedabad,1,2,0,1,1,1,1,197260,0,0,3400,29699.83207
173042,1,BHK,Apartment,Wagholi,1784,Furnished,4,Pune,1,3,0,0,0,1,1,252660,0,0,1600,35411.25899
40092,1,RK,Independent Floor,Yelahanka,829,Unfurnished,1,Bangalore,0,3,0,0,0,0,0,11160,1,0,100,3854.963932
173674,1,BHK,Apartment,Wakad,501,Furnished,1,Pune,0,2,1,1,0,1,0,69876,1,0,2800,13401.44571
146786,2,BHK,Apartment,Kanjurmarg,718,Semi-Furnished,2,Mumbai,1,6,0,1,1,1,1,170248,1,0,3500,25813.22537
4424,1,BHK,Apartment,Near Nirma University On SG Highway,2027,Semi-Furnished,2,Ahmedabad,1,1,1,0,1,1,1,76844,1,0,500,15378.91495
88681,4,BHK,Studio Apartment,Kondapur,836,Semi-Furnished,2,Hyderabad,1,6,1,0,1,1,0,16005,0,0,3400,5026.934846
165580,1,BHK,Apartment,Airoli,898,Unfurnished,2,Mumbai,0,17,1,0,0,0,0,43310,0,1,1200,9059.208389
83464,3,BHK,Apartment,Hitech City,1423,Furnished,2,Hyderabad,1,10,1,0,0,1,0,88902,0,1,3200,18358.77627
82953,1,BHK,Independent House,LB Nagar,450,Unfurnished,2,Hyderabad,1,4,1,0,0,0,1,261738,1,0,3500,37796.20361
40663,3,BHK,Apartment,Harlur,1545,Semi-Furnished,2,Bangalore,0,13,1,0,1,1,1,78056,1,1,4000,18309.22828
68108,2,BHK,Independent Floor,Uday Park,2827,Unfurnished,1,Delhi,0,16,1,0,0,0,0,89335,1,1,3100,16154.73686
51554,1,BHK,Apartment,Green Park,2347,Semi-Furnished,2,Delhi,0,14,0,1,1,1,0,96272,1,1,1800,17802.13935
61613,2,BHK,Independent House,Uttam Nagar,699,Semi-Furnished,2,Delhi,0,5,1,0,1,1,1,368874,1,0,700,50728.39602
168430,2,RK,Apartment,Bandra West,1260,Unfurnished,1,Mumbai,0,5,0,1,0,0,0,56504,0,0,400,12379.93911
154268,2,BHK,Independent Floor,Powai,1269,Semi-Furnished,2,Mumbai,0,0,1,0,1,1,0,218052,1,0,3100,31850.66217
100209,4,BHK,Apartment,Garia,4808,Unfurnished,4,Kolkata,0,19,1,1,0,0,1,99099,0,1,1000,19941.32868
8029,1,BHK,Apartment,Jagatpur,951,Semi-Furnished,4,Ahmedabad,0,1,1,0,1,1,0,288378,1,0,1500,42097.58488
37220,1,BHK,Apartment,Vijayanagar,656,Unfurnished,4,Bangalore,1,19,0,1,0,0,1,66897,0,1,2500,13599.7846
175873,5,BHK,Independent House,Viman Nagar,821,Unfurnished,1,Pune,0,2,0,0,0,0,1,1040913,1,0,2300,150365.9604
26141,2,BHK,Independent House,Sarjapur Road Post Railway Crossing,487,Semi-Furnished,2,Bangalore,0,14,1,0,1,1,0,26284,1,1,2700,8539.279462
135876,1,BHK,Apartment,Nerul,681,Unfurnished,1,Mumbai,0,2,1,0,0,0,0,35504,0,0,2200,7304.473791
111945,1,BHK,Apartment,Kharghar,816,Semi-Furnished,1,Mumbai,1,6,1,1,1,1,0,443296,0,0,4000,63954.46905
45773,2,BHK,Apartment,Thiruvanmiyur,2286,Semi-Furnished,2,Chennai,1,7,0,0,1,1,0,104358,1,1,1200,19941.32868
112862,1,BHK,Independent Floor,Dombivali,1202,Semi-Furnished,1,Mumbai,1,0,0,1,1,1,0,51944,1,0,800,10420.8648
80109,3,BHK,Apartment,Safdarjung Enclave,3976,Furnished,4,Delhi,0,15,1,0,0,1,0,96284,0,1,3800,19910.8618
174289,1,RK,Apartment,Nanded,718,Semi-Furnished,2,Pune,0,2,1,0,1,1,1,138432,1,0,3600,22382.40133
128980,1,RK,Apartment,Thane West,853,Unfurnished,1,Mumbai,1,17,1,0,0,0,0,17360,0,1,3900,4323.720812
126685,2,BHK,Independent Floor,Santacruz East,963,Semi-Furnished,2,Mumbai,1,0,1,0,1,1,0,184200,0,0,3700,28472.33467
9986,3,BHK,Independent Floor,Near Nirma University On SG Highway,1668,Furnished,2,Ahmedabad,0,17,0,0,0,1,1,164353,1,1,700,25670.69842
171105,2,BHK,Apartment,Rahatani,1061,Unfurnished,2,Pune,0,18,1,1,0,0,1,175730,0,1,2700,26162.8916
153002,2,BHK,Apartment,Bandra West,1457,Furnished,2,Mumbai,1,17,0,1,0,1,0,132080,0,1,1400,23661.17379
114893,1,BHK,Apartment,Wadala,831,Unfurnished,2,Mumbai,0,5,1,1,0,0,1,93198,0,0,400,17571.61881
101668,1,BHK,Independent House,south dum dum,1864,Furnished,2,Kolkata,0,17,1,0,0,1,0,160072,1,1,1300,25331.34355
112066,2,BHK,Independent House,Juhu,2652,Unfurnished,2,Mumbai,0,4,0,0,0,0,1,105488,0,0,1400,19941.32868
131278,1,BHK,Apartment,Dombivali,640,Unfurnished,4,Mumbai,1,2,0,1,0,0,1,15708,1,0,3900,4473.472394
157456,4,BHK,Apartment,Wadala,1218,Unfurnished,1,Mumbai,0,12,0,1,0,0,1,208280,1,1,3900,31128.91454
109350,1,BHK,Apartment,Thane West,3226,Furnished,2,Mumbai,1,2,0,0,0,1,1,51864,1,0,2300,12285.22778
129570,1,BHK,Villa,Dahisar West,773,Unfurnished,3,Mumbai,0,19,0,1,0,0,1,18995,0,1,900,5443.770012
72420,1,BHK,Independent Floor,Hauz Khas,844,Unfurnished,1,Delhi,0,1,1,0,0,0,1,26252,1,0,2400,6015.628125
29117,3,BHK,Apartment,Amruthahalli Main Road,1532,Semi-Furnished,2,Bangalore,1,0,1,1,1,1,0,244936,0,0,1900,34050.3146
166630,1,BHK,Apartment,Mahape,857,Unfurnished,2,Mumbai,0,13,1,0,0,0,0,55641,1,1,3600,12244.85785
75351,3,RK,Apartment,Maharani Bagh,1094,Semi-Furnished,3,Delhi,0,8,1,0,1,1,1,211375,0,1,3700,31698.90421
181693,1,BHK,Apartment,Pimple Saudagar,843,Unfurnished,1,Pune,1,4,0,0,0,0,0,21111,1,0,1000,4949.99853
177684,1,RK,Independent House,Kothrud,597,Unfurnished,1,Pune,1,9,1,0,0,0,0,20792,1,1,2400,4919.454408
141470,1,BHK,Apartment,Borivali West,732,Unfurnished,1,Mumbai,0,2,0,1,0,0,1,47284,0,0,2800,10149.84012
37987,3,BHK,Apartment,Mahadev pura,2085,Furnished,2,Bangalore,0,5,0,0,0,1,0,34130,0,0,1200,11431.04706
127229,3,BHK,Independent Floor,Powai,685,Semi-Furnished,2,Mumbai,1,14,0,1,1,1,1,47025,0,1,1900,14458.73521
176898,1,BHK,Apartment,Katraj,141,Unfurnished,1,Pune,1,17,1,0,0,0,0,18272,1,1,800,4612.106895
116621,4,BHK,Independent Floor,Andheri East,777,Unfurnished,2,Mumbai,0,3,0,0,0,0,0,71340,0,0,3600,17416.53483
38430,3,BHK,Apartment,Sarjapur Road Wipro To Railway Crossing,1222,Furnished,2,Bangalore,1,1,0,0,0,1,0,28976,1,0,1800,8699.581232
114958,3,BHK,Independent Floor,Chembur,773,Semi-Furnished,2,Mumbai,1,16,0,0,1,1,0,303620,0,1,3300,42808.54817
143396,1,BHK,Apartment,Dadar West,654,Unfurnished,3,Mumbai,1,5,0,0,0,0,0,476304,0,0,3900,72348.35295
149793,3,BHK,Studio Apartment,Dombivli (West),1225,Unfurnished,2,Mumbai,0,1,1,0,0,0,1,290256,1,0,900,42063.24523
40494,2,BHK,Apartment,Thirumalashettyhally,1079,Semi-Furnished,2,Bangalore,0,6,0,0,1,1,1,122787,0,0,3100,21534.60165
166444,1,BHK,Apartment,Ghansoli,648,Semi-Furnished,2,Mumbai,1,12,1,1,1,1,1,61888,0,1,1200,12264.24375
36098,1,BHK,Apartment,Kithaganur Colony,1340,Semi-Furnished,4,Bangalore,0,10,0,1,1,1,1,22503,1,1,3100,6068.608237
172091,3,BHK,Apartment,Dhanori,2254,Unfurnished,1,Pune,1,2,0,1,0,0,1,154770,1,0,1100,23598.76842
101744,3,BHK,Apartment,Serampore,809,Semi-Furnished,2,Kolkata,0,13,1,0,1,1,0,102630,1,1,3900,19836.00353
180566,3,RK,Independent House,Baner,607,Unfurnished,1,Pune,0,9,1,0,0,0,0,13408,0,1,1900,4693.862098
48016,3,BHK,Independent Floor,Pallikaranai,566,Semi-Furnished,3,Chennai,1,5,1,0,1,1,1,166852,0,0,500,25462.88209
166436,3,RK,Apartment,Ghansoli,1682,Semi-Furnished,1,Mumbai,0,11,0,0,1,1,1,86415,0,1,3200,16083.76127
124917,2,BHK,Independent Floor,Sanpada,1170,Furnished,2,Mumbai,0,19,0,1,0,1,1,91656,0,1,1900,18643.56532
84448,2,BHK,Independent Floor,Kondapur,1212,Unfurnished,2,Hyderabad,0,10,1,1,0,0,1,45016,0,1,1900,12399.78771
142097,1,BHK,Apartment,Dahisar West,1952,Furnished,2,Mumbai,0,0,0,1,0,1,0,56085,0,0,1900,12285.22778
59635,3,BHK,Independent Floor,Sector 8 Dwarka,2140,Unfurnished,2,Delhi,1,18,1,1,0,0,0,249232,0,1,400,34068.45326
80569,1,BHK,Independent Floor,Rajouri Garden,914,Furnished,3,Delhi,1,17,1,0,0,1,1,59728,1,1,700,12264.24375
123300,1,RK,Apartment,Chembur,497,Semi-Furnished,1,Mumbai,0,10,1,1,1,1,0,45236,0,1,3900,8395.283927
156410,1,BHK,Independent Floor,Sion,763,Unfurnished,1,Mumbai,1,4,0,1,0,0,0,278652,0,0,3700,39880.19135
64813,1,BHK,Independent Floor,Preet Vihar,780,Furnished,2,Delhi,0,2,1,0,0,1,0,100158,1,0,1500,17808.53131
100644,1,BHK,Apartment,Salt Lake City,801,Furnished,1,Kolkata,1,3,0,0,0,1,0,17256,0,0,1000,4330.227
1246,2,BHK,Apartment,Shela,1364,Semi-Furnished,2,Ahmedabad,0,6,0,0,1,1,1,492387,1,0,2900,70651.82385
85033,1,BHK,Apartment,Madhapur,3562,Semi-Furnished,2,Hyderabad,0,9,0,0,1,1,1,100050,1,1,3900,17837.34575
173883,1,BHK,Apartment,Baner,1129,Unfurnished,4,Pune,0,5,0,0,0,0,0,13422,0,0,2200,4301.803081
37899,1,BHK,Apartment,CV Raman Nagar,605,Unfurnished,1,Bangalore,1,9,1,1,0,0,0,133893,0,1,1500,22090.18366
150538,3,BHK,Apartment,Kharghar,7154,Semi-Furnished,2,Mumbai,0,13,0,1,1,1,1,115962,0,1,2400,20828.86321
71954,3,BHK,Independent Floor,Maharani Bagh,2072,Furnished,3,Delhi,0,10,0,1,0,1,0,99920,0,1,1500,19941.32868
124114,3,BHK,Studio Apartment,Khar West,701,Unfurnished,2,Mumbai,1,13,1,0,0,0,1,133100,1,1,2100,22568.18152
143503,1,BHK,Apartment,Kandivali East,795,Furnished,4,Mumbai,1,3,0,1,0,1,1,93680,1,0,3500,17620.53379
71305,3,BHK,Apartment,Patel Nagar,615,Unfurnished,1,Delhi,0,9,0,1,0,0,1,100104,0,1,2100,18439.77007
66187,1,BHK,Villa,Garhi,4236,Semi-Furnished,3,Delhi,0,9,1,0,1,1,1,12795,0,1,1400,4204.298448
74057,1,BHK,Independent Floor,Sheikh Sarai,672,Furnished,1,Delhi,1,3,1,0,0,1,0,39264,0,0,3900,7417.25683
3478,2,BHK,Apartment,Bopal,758,Furnished,1,Ahmedabad,1,4,1,1,0,1,1,391135,0,0,800,54793.33093
20480,3,BHK,Apartment,HSR Layout,1798,Semi-Furnished,1,Bangalore,1,16,0,0,1,1,0,135000,0,1,1000,23406.03759
47405,3,BHK,Independent Floor,Mogappair,1386,Unfurnished,2,Chennai,1,15,1,1,0,0,0,321628,0,1,3100,45058.4891
90075,1,BHK,Apartment,Hastinapuram,1167,Unfurnished,4,Hyderabad,0,0,0,1,0,0,1,182408,1,0,800,28660.93987
104216,2,BHK,Independent House,Powai,1602,Furnished,2,Mumbai,1,17,1,1,0,1,1,30218,1,1,3400,8993.731687
64851,3,BHK,Apartment,Dr Mukherji Nagar,681,Semi-Furnished,3,Delhi,0,8,0,1,1,1,1,114963,1,1,2000,19974.17018
118660,2,BHK,Apartment,Wadala,649,Semi-Furnished,2,Mumbai,1,9,0,0,1,1,1,35372,0,1,1200,10443.8612
25609,2,BHK,Apartment,Harlur,2064,Semi-Furnished,2,Bangalore,0,8,0,0,1,1,1,163413,0,1,1700,25559.16407
143160,1,BHK,Apartment,Borivali West,1219,Unfurnished,1,Mumbai,1,11,0,0,0,0,1,33555,1,1,2900,6960.122892
14308,2,RK,Apartment,Bopal,594,Semi-Furnished,1,Ahmedabad,0,2,1,0,1,1,0,1150064,0,0,3300,161073.6503
119196,1,BHK,Apartment,Thane West,648,Unfurnished,2,Mumbai,0,2,1,1,0,0,0,166995,0,0,800,25399.7329
12438,3,BHK,Apartment,Near Nirma University On SG Highway,1428,Semi-Furnished,2,Ahmedabad,1,5,1,0,1,1,0,217595,1,0,1800,31857.34883
180686,1,BHK,Apartment,Kharadi,2166,Furnished,5,Pune,0,5,0,0,0,1,0,143406,1,0,3900,23558.17475
178314,1,RK,Apartment,Mahalunge,443,Unfurnished,4,Pune,0,19,1,0,0,0,0,222030,0,1,2200,32034.46731
188260,1,BHK,Apartment,Dhayari,1167,Semi-Furnished,1,Pune,1,15,1,0,1,1,1,25996,1,1,1900,6453.232581
69735,1,BHK,Apartment,Sainik Farm,943,Unfurnished,2,Delhi,1,16,0,0,0,0,1,904698,1,1,4000,132705.4418
126702,1,RK,Apartment,Juhu,626,Unfurnished,1,Mumbai,1,8,0,0,0,0,0,34296,1,1,800,7256.135085
120811,2,BHK,Independent Floor,Goregaon West,563,Unfurnished,2,Mumbai,0,17,1,1,0,0,1,97062,1,1,0,19805.69756
78481,2,BHK,Apartment,South Extension 2,869,Semi-Furnished,2,Delhi,1,12,0,1,1,1,0,169880,0,1,3900,25913.54449
169517,1,BHK,Apartment,Borivali West,2694,Unfurnished,3,Mumbai,1,2,1,1,0,0,1,84553,1,0,2300,15360.66339
119383,3,BHK,Apartment,Bandra West,1402,Furnished,2,Mumbai,0,16,1,0,0,1,0,52810,0,1,3700,14944.96026
40486,3,BHK,Independent Floor,Wilson Garden,1946,Semi-Furnished,3,Bangalore,1,6,1,0,1,1,1,105820,1,0,0,19975.66779
8279,2,BHK,Apartment,Makarba,1185,Furnished,4,Ahmedabad,0,18,0,0,0,1,1,344488,0,1,2700,48531.20816
68482,3,BHK,Independent House,Saket,796,Unfurnished,2,Delhi,1,13,1,0,0,0,0,386370,1,1,3600,51739.82846
22330,3,BHK,Apartment,Kaggadasapura,6024,Semi-Furnished,4,Bangalore,0,2,0,1,1,1,0,72687,1,0,300,18309.22828
177131,2,BHK,Apartment,Viman Nagar,661,Unfurnished,2,Pune,1,14,1,1,0,0,0,94640,0,1,1000,19724.60715
88646,1,BHK,Independent Floor,Saptagiri Colony,357,Furnished,3,Hyderabad,1,15,0,0,0,1,1,177830,1,1,1800,26241.89014
118672,1,BHK,Apartment,Wadala,836,Furnished,2,Mumbai,0,15,1,1,0,1,0,161136,0,1,3600,25295.4704
1401,3,BHK,Independent Floor,Bopal,1306,Semi-Furnished,2,Ahmedabad,0,19,0,0,1,1,0,105940,1,1,3500,19975.66779
156443,4,BHK,Studio Apartment,23 Sector Number 3 Road,3076,Unfurnished,1,Mumbai,1,8,1,0,0,0,1,129366,1,1,700,22602.41511
33595,3,BHK,Independent Floor,Kodathi,1388,Semi-Furnished,3,Bangalore,1,8,1,0,1,1,1,167408,1,1,3500,25932.18281
187583,2,BHK,Apartment,Moshi,1468,Semi-Furnished,2,Pune,0,18,1,0,1,1,0,1247360,1,1,1800,182291.0943
79396,4,BHK,Independent House,Kabool Nagar,1127,Semi-Furnished,3,Delhi,1,13,1,0,1,1,1,47730,0,1,1500,14944.96026
135515,2,BHK,Apartment,Dahisar,4102,Semi-Furnished,2,Mumbai,0,16,1,0,1,1,0,255680,0,1,3200,36878.63252
151222,1,BHK,Apartment,Koper Khairane,2412,Unfurnished,2,Mumbai,1,3,0,0,0,0,0,73065,1,0,1400,15360.66339
80054,1,BHK,Independent Floor,Gautam Nagar,9904,Furnished,1,Delhi,1,1,0,0,0,1,1,46288,1,0,1200,9231.362154
25759,2,BHK,Independent House,Indira Nagar,8314,Furnished,3,Bangalore,1,14,1,0,0,1,0,695088,0,1,800,101804.7358
162282,1,BHK,Independent Floor,Koper Khairane,950,Unfurnished,1,Mumbai,0,12,0,0,0,0,0,17848,0,1,3600,4632.215708
163691,1,BHK,Independent Floor,Borivali West,1430,Semi-Furnished,3,Mumbai,1,4,0,0,1,1,0,30302,1,0,300,7156.970431
60545,1,RK,Apartment,Greater Kailash,504,Unfurnished,2,Delhi,1,9,0,0,0,0,0,189084,1,1,1900,28318.60768
178229,2,BHK,Studio Apartment,Viman Nagar,1043,Unfurnished,2,Pune,1,10,1,1,0,0,0,85944,0,1,3600,18309.22828
15091,1,BHK,Independent House,Shela,1078,Semi-Furnished,1,Ahmedabad,1,6,0,1,1,1,0,390614,1,0,300,54772.62034
4555,1,RK,Apartment,Gota,861,Semi-Furnished,1,Ahmedabad,0,2,0,0,1,1,0,147960,1,0,1700,22390.17178
77341,2,BHK,Apartment,Jor bagh,1631,Semi-Furnished,2,Delhi,1,6,1,0,1,1,1,25484,0,0,2200,8702.317772
100719,1,BHK,Apartment,Keshtopur,1759,Semi-Furnished,1,Kolkata,0,7,1,0,1,1,0,77841,0,1,2900,13706.7517
159290,1,BHK,Studio Apartment,Sector9 Ghansoli,794,Unfurnished,3,Mumbai,1,6,1,0,0,0,0,213720,1,0,2800,31496.88569
76012,5,BHK,Apartment,Navjeevan Vihar,2424,Unfurnished,1,Delhi,0,17,0,0,0,0,1,91554,1,1,3900,16339.84033
190322,2,BHK,Independent Floor,Sadashiv Peth,1656,Furnished,2,Pune,1,11,1,1,0,1,1,1674288,1,1,1800,238343.5679
105374,2,BHK,Apartment,Seawoods,809,Furnished,2,Mumbai,1,4,1,1,0,1,1,44892,0,0,2900,10347.27413
188195,2,BHK,Apartment,Dhanori,2111,Semi-Furnished,3,Pune,1,3,0,1,1,1,0,162305,1,0,3900,25517.69528
75189,3,RK,Independent Floor,Friends Colony,1883,Semi-Furnished,4,Delhi,0,2,0,0,1,1,1,622236,0,0,1300,90109.5952
98821,2,BHK,Apartment,Rajarhat,1530,Furnished,1,Kolkata,0,7,1,0,0,1,0,11284,1,1,3400,4154.562463
163257,5,BHK,Apartment,Mira Road East,1435,Furnished,2,Mumbai,1,9,1,0,0,1,1,1483970,0,1,3200,213193.3017
15344,2,BHK,Apartment,Makarba,1238,Semi-Furnished,2,Ahmedabad,0,9,1,1,1,1,1,138330,0,1,1500,23518.09347
117392,2,BHK,Villa,Ghatkopar West,825,Unfurnished,1,Mumbai,1,3,0,1,0,0,0,209426,1,0,2900,31571.9969
59767,3,BHK,Apartment,Greater kailash 1,3302,Semi-Furnished,2,Delhi,1,16,1,0,1,1,1,337437,0,1,1800,47892.51096
79328,2,BHK,Independent House,Uday Park,698,Unfurnished,2,Delhi,1,2,0,1,0,0,0,863540,1,0,3900,130545.1269
97905,1,BHK,Apartment,New Town,7979,Semi-Furnished,2,Kolkata,1,4,0,0,1,1,0,31225,0,0,2000,7792.423371
22604,2,BHK,Independent Floor,Mahadevapura,994,Semi-Furnished,2,Bangalore,1,4,0,0,1,1,1,196340,1,0,2200,29656.15458
41041,1,BHK,Apartment,Sarjapur Road Post Railway Crossing,719,Unfurnished,3,Bangalore,0,2,0,0,0,0,0,620795,0,0,3800,90366.73927
30369,3,BHK,Apartment,Nagarbhavi,1250,Semi-Furnished,1,Bangalore,1,13,0,0,1,1,1,245126,0,1,1700,33889.11813
148288,1,BHK,Independent House,Nerul,1330,Unfurnished,1,Mumbai,0,2,1,1,0,0,1,79920,1,0,0,13627.52786
130333,4,BHK,Apartment,Mira Road East,1068,Semi-Furnished,2,Mumbai,1,19,0,0,1,1,0,47640,1,1,1600,14944.96026
178711,2,BHK,Independent Floor,Vadgaon Budruk,670,Furnished,2,Pune,1,4,1,0,0,1,1,128619,1,0,3400,22076.04812
32742,4,BHK,Apartment,"Reliable Residency Layout, Phase 3",545,Furnished,2,Bangalore,1,2,0,0,0,1,1,63520,0,0,3600,14458.73521
100243,1,BHK,Independent House,New Town,707,Semi-Furnished,1,Kolkata,0,15,1,0,1,1,0,19830,0,1,3700,4941.113923
159338,4,BHK,Apartment,Shahpur,1005,Semi-Furnished,2,Mumbai,0,19,1,0,1,1,0,63995,1,1,2000,14899.30325
56877,2,BHK,Apartment,Sector 22 Dwarka,1417,Semi-Furnished,2,Delhi,0,9,1,0,1,1,1,53540,0,1,3700,14944.96026
88741,2,BHK,Apartment,Vijaya Nagar Colony,929,Unfurnished,2,Hyderabad,1,5,1,1,0,0,0,83544,1,0,0,17784.86536
140759,1,BHK,Apartment,Andheri West,662,Unfurnished,4,Mumbai,1,12,1,0,0,0,0,159184,1,1,2200,25267.06494
16364,1,BHK,Apartment,Chandkheda,1924,Unfurnished,2,Ahmedabad,1,11,1,1,0,0,0,39162,0,1,1400,9059.208389
133984,1,BHK,Independent Floor,Kurla,278,Unfurnished,1,Mumbai,0,6,1,0,0,0,0,33183,0,0,3100,6723.297668
